user_id,course_id,activity_type,time_spent_min,rating,completion_status,topic,difficulty_level
446,Math101,quiz,24,3,incomplete,Math,Beginner
484,Sci303,video,45,4,incomplete,Languages,Advanced
270,Lang404,exercise,36,1,completed,Science,Intermediate
351,Math101,video,23,5,incomplete,Science,Beginner
304,Lang404,exercise,54,5,completed,Languages,Advanced
271,Math101,quiz,8,5,completed,Math,Beginner
456,Lang404,exercise,54,3,completed,Math,Intermediate
462,Sci303,exercise,4,3,incomplete,Math,Beginner
215,Prog202,exercise,50,1,completed,Languages,Advanced
252,Sci303,video,39,3,incomplete,Languages,Intermediate
190,Math101,article,43,2,completed,Math,Advanced
296,Sci303,exercise,31,3,completed,Math,Intermediate
213,Prog202,video,29,5,completed,Languages,Advanced
208,Sci303,video,59,1,incomplete,Languages,Beginner
237,Math101,video,36,4,completed,Math,Intermediate
338,Math101,article,13,4,incomplete,Math,Intermediate
367,Sci303,article,41,1,completed,Science,Intermediate
53,Prog202,article,9,2,completed,Programming,Beginner
280,Sci303,article,55,4,incomplete,Languages,Intermediate
410,Prog202,quiz,21,5,completed,Programming,Beginner
217,Lang404,article,51,4,incomplete,Languages,Beginner
252,Prog202,article,3,4,completed,Science,Intermediate
188,Lang404,article,25,5,completed,Languages,Advanced
380,Sci303,exercise,25,3,incomplete,Languages,Intermediate
493,Prog202,exercise,12,2,incomplete,Programming,Advanced
41,Lang404,article,29,5,completed,Science,Advanced
157,Lang404,quiz,11,5,completed,Science,Intermediate
15,Lang404,exercise,52,1,completed,Science,Intermediate
301,Math101,video,11,2,completed,Science,Advanced
65,Sci303,exercise,49,3,completed,Languages,Intermediate
345,Lang404,video,26,5,completed,Programming,Intermediate
327,Prog202,exercise,53,3,incomplete,Science,Beginner
9,Lang404,article,14,5,incomplete,Math,Advanced
344,Math101,exercise,16,5,completed,Science,Beginner
129,Sci303,article,56,1,incomplete,Programming,Intermediate
492,Math101,article,10,4,completed,Programming,Intermediate
136,Math101,exercise,31,2,completed,Programming,Beginner
472,Math101,video,31,1,incomplete,Programming,Beginner
63,Prog202,video,36,3,incomplete,Math,Intermediate
139,Sci303,exercise,10,5,completed,Science,Advanced
499,Sci303,article,26,5,incomplete,Languages,Beginner
81,Prog202,video,20,2,completed,Languages,Advanced
392,Sci303,quiz,44,1,incomplete,Math,Intermediate
163,Math101,article,9,1,completed,Science,Advanced
419,Sci303,exercise,15,3,incomplete,Science,Advanced
289,Prog202,article,9,1,completed,Languages,Intermediate
379,Math101,quiz,7,1,completed,Math,Intermediate
261,Prog202,quiz,26,4,completed,Languages,Intermediate
490,Lang404,video,24,2,completed,Math,Advanced
231,Math101,quiz,12,1,completed,Programming,Beginner
41,Math101,article,20,3,incomplete,Science,Intermediate
28,Sci303,video,56,5,incomplete,Science,Intermediate
135,Math101,quiz,14,1,completed,Science,Beginner
201,Prog202,video,22,1,incomplete,Science,Intermediate
328,Sci303,video,16,5,completed,Science,Intermediate
268,Lang404,exercise,29,4,completed,Science,Beginner
418,Prog202,video,32,2,incomplete,Programming,Advanced
33,Lang404,video,19,4,completed,Science,Advanced
48,Lang404,quiz,55,3,incomplete,Programming,Advanced
407,Lang404,article,35,1,incomplete,Science,Intermediate
62,Math101,article,43,4,completed,Science,Beginner
216,Prog202,quiz,32,2,completed,Math,Advanced
293,Prog202,article,55,3,completed,Science,Beginner
99,Math101,video,53,4,incomplete,Languages,Advanced
172,Sci303,exercise,20,1,completed,Math,Advanced
360,Lang404,video,51,2,completed,Math,Intermediate
214,Prog202,video,40,1,completed,Math,Advanced
475,Math101,exercise,20,1,completed,Languages,Advanced
35,Lang404,quiz,8,3,incomplete,Programming,Beginner
449,Sci303,video,58,2,completed,Math,Intermediate
227,Sci303,video,35,5,incomplete,Math,Intermediate
101,Lang404,quiz,42,1,completed,Math,Advanced
431,Sci303,video,13,2,completed,Science,Intermediate
462,Prog202,video,41,1,completed,Programming,Beginner
131,Prog202,article,6,4,incomplete,Languages,Intermediate
257,Prog202,quiz,47,4,completed,Languages,Advanced
5,Sci303,video,16,2,completed,Programming,Intermediate
218,Prog202,video,5,3,completed,Programming,Intermediate
255,Math101,exercise,53,5,completed,Programming,Advanced
398,Prog202,exercise,45,4,completed,Science,Intermediate
359,Prog202,exercise,51,3,completed,Math,Intermediate
283,Sci303,video,34,5,completed,Science,Advanced
393,Prog202,video,6,4,completed,Programming,Advanced
207,Lang404,exercise,59,5,incomplete,Science,Beginner
15,Math101,article,33,1,completed,Languages,Advanced
346,Sci303,article,15,2,completed,Science,Advanced
42,Math101,article,15,4,completed,Programming,Intermediate
380,Lang404,article,14,4,completed,Math,Advanced
461,Sci303,quiz,39,1,completed,Science,Intermediate
179,Sci303,exercise,5,4,completed,Programming,Advanced
63,Prog202,video,52,4,completed,Science,Beginner
352,Math101,exercise,57,4,completed,Languages,Beginner
231,Lang404,article,26,4,completed,Science,Intermediate
241,Lang404,video,48,4,incomplete,Science,Intermediate
52,Sci303,quiz,17,3,incomplete,Math,Intermediate
96,Prog202,exercise,43,4,incomplete,Science,Beginner
388,Sci303,video,47,1,completed,Science,Beginner
222,Sci303,video,52,4,completed,Languages,Advanced
485,Sci303,article,16,5,incomplete,Languages,Advanced
407,Sci303,article,35,5,completed,Languages,Intermediate
231,Lang404,exercise,38,1,completed,Math,Beginner
237,Lang404,quiz,53,3,completed,Languages,Advanced
143,Sci303,video,23,1,completed,Languages,Beginner
171,Sci303,article,13,3,incomplete,Science,Beginner
29,Prog202,exercise,33,2,incomplete,Science,Intermediate
36,Sci303,article,29,5,incomplete,Math,Beginner
13,Lang404,exercise,53,5,incomplete,Languages,Intermediate
160,Math101,article,46,5,completed,Programming,Advanced
327,Lang404,quiz,34,3,incomplete,Science,Beginner
187,Prog202,video,34,1,completed,Programming,Intermediate
243,Lang404,article,27,3,completed,Programming,Beginner
86,Math101,video,15,5,completed,Languages,Beginner
284,Sci303,exercise,59,5,incomplete,Programming,Advanced
66,Math101,quiz,50,5,incomplete,Math,Intermediate
170,Sci303,video,9,5,completed,Math,Beginner
45,Sci303,article,26,2,completed,Science,Beginner
62,Lang404,video,3,5,completed,Programming,Advanced
441,Lang404,video,36,3,completed,Math,Beginner
134,Lang404,exercise,47,5,completed,Math,Intermediate
284,Prog202,quiz,5,4,incomplete,Programming,Intermediate
28,Lang404,quiz,20,2,completed,Math,Intermediate
108,Prog202,video,20,5,completed,Programming,Beginner
44,Lang404,video,5,4,incomplete,Math,Beginner
340,Sci303,exercise,10,3,completed,Programming,Intermediate
286,Prog202,video,16,2,completed,Math,Beginner
446,Math101,exercise,25,5,incomplete,Math,Advanced
331,Prog202,quiz,44,3,incomplete,Math,Intermediate
128,Prog202,quiz,25,4,completed,Languages,Advanced
348,Math101,exercise,30,2,completed,Languages,Advanced
473,Prog202,video,14,5,completed,Math,Beginner
231,Sci303,quiz,22,3,completed,Languages,Beginner
190,Lang404,article,43,2,completed,Programming,Intermediate
225,Math101,exercise,28,4,completed,Languages,Beginner
385,Lang404,quiz,30,5,incomplete,Science,Advanced
377,Sci303,quiz,19,2,completed,Science,Beginner
283,Math101,quiz,38,4,completed,Math,Intermediate
446,Lang404,article,42,4,completed,Languages,Beginner
121,Lang404,article,20,3,completed,Science,Advanced
116,Sci303,article,35,4,completed,Math,Advanced
461,Lang404,video,22,4,incomplete,Science,Intermediate
233,Sci303,exercise,15,1,completed,Math,Intermediate
259,Prog202,video,11,4,completed,Science,Beginner
359,Sci303,article,54,5,completed,Science,Beginner
198,Prog202,exercise,34,2,completed,Languages,Intermediate
456,Math101,video,57,5,completed,Math,Advanced
411,Lang404,video,24,5,completed,Science,Beginner
137,Sci303,video,6,3,completed,Math,Intermediate
318,Sci303,article,17,1,completed,Languages,Intermediate
165,Lang404,quiz,28,1,incomplete,Science,Advanced
225,Lang404,exercise,50,5,completed,Programming,Intermediate
307,Math101,article,31,2,completed,Programming,Beginner
234,Math101,exercise,36,1,completed,Programming,Beginner
172,Sci303,article,55,1,completed,Math,Intermediate
152,Math101,video,9,5,completed,Languages,Intermediate
463,Prog202,video,10,1,completed,Math,Advanced
315,Math101,quiz,21,3,completed,Math,Advanced
374,Math101,quiz,58,5,incomplete,Programming,Intermediate
160,Sci303,exercise,34,1,completed,Languages,Beginner
96,Prog202,quiz,31,1,incomplete,Science,Advanced
472,Math101,quiz,29,1,incomplete,Math,Intermediate
233,Prog202,exercise,43,5,completed,Programming,Advanced
180,Prog202,article,43,2,completed,Math,Advanced
113,Prog202,quiz,11,4,completed,Math,Advanced
318,Lang404,article,33,1,completed,Languages,Advanced
497,Lang404,video,58,4,completed,Science,Advanced
442,Lang404,quiz,46,4,completed,Math,Advanced
52,Lang404,video,1,1,incomplete,Math,Beginner
268,Sci303,video,21,1,completed,Science,Advanced
295,Math101,article,23,4,completed,Languages,Intermediate
386,Lang404,exercise,57,2,completed,Math,Intermediate
387,Sci303,quiz,9,4,completed,Languages,Advanced
113,Math101,article,56,2,incomplete,Languages,Advanced
101,Lang404,exercise,1,3,completed,Math,Intermediate
113,Math101,video,21,2,completed,Science,Advanced
440,Lang404,quiz,22,5,incomplete,Math,Intermediate
81,Sci303,video,54,1,incomplete,Math,Intermediate
187,Prog202,video,4,3,incomplete,Programming,Beginner
113,Prog202,quiz,1,4,incomplete,Science,Beginner
2,Math101,exercise,51,2,completed,Programming,Intermediate
130,Sci303,exercise,10,3,completed,Science,Advanced
220,Prog202,quiz,15,5,completed,Math,Intermediate
54,Lang404,quiz,52,2,completed,Languages,Intermediate
343,Prog202,article,36,4,completed,Programming,Advanced
485,Math101,article,29,4,incomplete,Programming,Beginner
224,Math101,video,52,2,completed,Programming,Intermediate
225,Sci303,quiz,46,5,incomplete,Programming,Beginner
385,Math101,exercise,5,1,completed,Science,Advanced
403,Prog202,video,29,1,completed,Languages,Beginner
126,Prog202,video,47,4,completed,Languages,Advanced
130,Prog202,video,47,5,completed,Math,Advanced
53,Prog202,video,27,4,completed,Math,Beginner
172,Sci303,exercise,25,1,completed,Programming,Intermediate
218,Lang404,video,16,4,completed,Math,Intermediate
160,Lang404,quiz,16,2,incomplete,Math,Advanced
198,Sci303,article,36,2,completed,Science,Beginner
416,Math101,exercise,25,5,completed,Math,Beginner
247,Lang404,quiz,41,1,completed,Math,Beginner
324,Math101,quiz,1,5,completed,Math,Beginner
439,Lang404,quiz,5,5,incomplete,Languages,Advanced
203,Math101,article,41,1,incomplete,Languages,Beginner
184,Sci303,article,20,3,incomplete,Math,Beginner
123,Prog202,article,5,3,completed,Programming,Intermediate
401,Math101,quiz,36,4,completed,Languages,Advanced
255,Prog202,article,29,3,incomplete,Science,Beginner
294,Math101,video,48,2,incomplete,Science,Beginner
280,Math101,article,34,5,incomplete,Science,Advanced
325,Math101,exercise,58,4,incomplete,Math,Advanced
372,Math101,quiz,48,5,completed,Programming,Intermediate
98,Math101,quiz,18,1,completed,Science,Advanced
198,Prog202,video,2,3,incomplete,Programming,Beginner
470,Math101,article,16,1,incomplete,Science,Intermediate
395,Prog202,article,29,4,incomplete,Programming,Beginner
240,Sci303,exercise,33,2,completed,Math,Advanced
144,Lang404,video,16,3,completed,Math,Advanced
97,Math101,exercise,35,1,completed,Science,Advanced
201,Lang404,exercise,47,3,completed,Science,Intermediate
124,Prog202,quiz,43,5,completed,Languages,Beginner
187,Sci303,quiz,42,2,incomplete,Science,Beginner
326,Sci303,article,17,3,completed,Languages,Intermediate
464,Sci303,article,4,2,completed,Languages,Advanced
349,Lang404,exercise,49,5,completed,Math,Beginner
259,Prog202,article,4,5,completed,Math,Advanced
148,Math101,exercise,51,1,completed,Languages,Advanced
252,Math101,article,25,4,incomplete,Science,Beginner
443,Prog202,article,33,1,completed,Languages,Advanced
420,Lang404,quiz,14,2,completed,Science,Beginner
403,Math101,quiz,24,1,incomplete,Math,Beginner
346,Prog202,quiz,11,3,completed,Science,Intermediate
451,Math101,quiz,25,1,completed,Languages,Beginner
147,Sci303,video,28,4,completed,Science,Intermediate
148,Math101,quiz,7,4,completed,Languages,Advanced
352,Lang404,video,49,2,completed,Science,Intermediate
199,Prog202,quiz,36,5,completed,Languages,Advanced
308,Lang404,article,10,4,incomplete,Math,Intermediate
489,Prog202,exercise,49,2,completed,Languages,Advanced
417,Sci303,article,36,4,completed,Math,Beginner
424,Prog202,article,31,4,completed,Languages,Intermediate
128,Math101,video,19,5,completed,Languages,Beginner
39,Math101,quiz,18,3,completed,Programming,Beginner
338,Sci303,exercise,49,2,incomplete,Programming,Advanced
360,Prog202,exercise,6,4,completed,Programming,Advanced
129,Sci303,quiz,28,4,completed,Programming,Advanced
267,Math101,video,7,1,incomplete,Science,Advanced
476,Lang404,video,38,3,completed,Math,Intermediate
441,Sci303,video,57,5,completed,Math,Beginner
473,Lang404,exercise,12,2,completed,Programming,Advanced
434,Lang404,video,41,4,completed,Science,Beginner
151,Prog202,video,50,2,completed,Languages,Intermediate
415,Sci303,exercise,34,5,completed,Languages,Advanced
478,Lang404,exercise,25,3,completed,Math,Intermediate
298,Lang404,article,17,1,completed,Math,Intermediate
99,Prog202,exercise,53,3,incomplete,Science,Beginner
263,Prog202,quiz,33,1,completed,Languages,Beginner
252,Math101,exercise,23,2,completed,Science,Intermediate
144,Lang404,exercise,9,3,completed,Languages,Intermediate
346,Math101,video,6,3,completed,Programming,Advanced
112,Lang404,article,2,3,completed,Programming,Beginner
60,Math101,video,38,5,completed,Science,Intermediate
369,Prog202,article,9,2,completed,Math,Intermediate
2,Sci303,video,3,1,completed,Science,Beginner
385,Prog202,quiz,16,3,completed,Science,Intermediate
304,Math101,video,25,2,incomplete,Languages,Advanced
254,Math101,video,24,5,completed,Languages,Intermediate
140,Sci303,quiz,47,5,incomplete,Languages,Intermediate
453,Lang404,quiz,29,2,incomplete,Languages,Beginner
37,Math101,exercise,44,1,incomplete,Math,Beginner
160,Math101,video,55,2,incomplete,Math,Advanced
9,Math101,quiz,40,2,completed,Programming,Intermediate
233,Sci303,quiz,26,4,completed,Science,Advanced
99,Prog202,exercise,38,5,completed,Programming,Intermediate
147,Math101,article,35,1,incomplete,Languages,Intermediate
304,Sci303,quiz,23,4,completed,Science,Beginner
208,Math101,quiz,4,2,completed,Languages,Advanced
131,Lang404,video,59,5,completed,Science,Intermediate
404,Sci303,exercise,42,4,completed,Math,Intermediate
152,Math101,video,14,4,completed,Languages,Beginner
54,Sci303,article,53,1,completed,Science,Beginner
120,Math101,exercise,56,2,incomplete,Science,Beginner
161,Prog202,video,47,1,incomplete,Languages,Advanced
408,Math101,quiz,39,4,incomplete,Math,Advanced
116,Sci303,quiz,7,4,incomplete,Math,Intermediate
75,Lang404,exercise,8,1,completed,Math,Advanced
113,Lang404,quiz,42,4,incomplete,Science,Beginner
456,Lang404,video,51,3,completed,Math,Beginner
420,Math101,exercise,19,5,incomplete,Science,Advanced
422,Prog202,quiz,2,2,completed,Programming,Intermediate
104,Math101,quiz,47,5,completed,Math,Intermediate
340,Lang404,article,1,2,incomplete,Languages,Intermediate
254,Sci303,article,42,4,completed,Languages,Intermediate
227,Lang404,exercise,38,1,completed,Languages,Beginner
112,Sci303,article,54,1,completed,Languages,Advanced
473,Prog202,video,13,4,completed,Programming,Beginner
99,Sci303,quiz,42,2,completed,Programming,Intermediate
153,Math101,quiz,44,4,completed,Math,Intermediate
349,Math101,quiz,24,2,completed,Math,Beginner
402,Math101,exercise,32,4,completed,Languages,Intermediate
384,Sci303,exercise,30,4,completed,Languages,Beginner
366,Math101,article,6,4,completed,Languages,Beginner
338,Math101,quiz,38,1,completed,Science,Beginner
194,Math101,quiz,33,2,completed,Math,Beginner
310,Prog202,quiz,44,4,completed,Languages,Intermediate
163,Sci303,quiz,55,5,completed,Languages,Intermediate
208,Sci303,quiz,23,5,incomplete,Languages,Intermediate
445,Lang404,video,10,1,incomplete,Programming,Advanced
169,Sci303,quiz,57,3,incomplete,Programming,Beginner
484,Prog202,video,46,1,completed,Programming,Advanced
161,Sci303,quiz,15,3,completed,Science,Beginner
68,Prog202,exercise,23,1,completed,Science,Beginner
289,Prog202,exercise,56,5,completed,Math,Intermediate
398,Sci303,video,36,4,incomplete,Languages,Beginner
277,Lang404,quiz,57,2,completed,Math,Advanced
304,Math101,exercise,1,4,completed,Math,Intermediate
404,Math101,exercise,8,5,completed,Programming,Intermediate
384,Sci303,quiz,3,2,completed,Languages,Beginner
392,Sci303,quiz,14,3,completed,Programming,Intermediate
135,Prog202,exercise,17,3,completed,Programming,Advanced
195,Sci303,quiz,34,5,completed,Languages,Beginner
401,Prog202,article,47,2,completed,Math,Advanced
128,Lang404,quiz,6,4,completed,Math,Intermediate
33,Sci303,exercise,5,5,incomplete,Programming,Advanced
176,Math101,exercise,46,3,incomplete,Languages,Advanced
460,Math101,video,51,5,incomplete,Math,Intermediate
443,Sci303,article,41,4,completed,Science,Beginner
371,Prog202,exercise,40,1,completed,Math,Beginner
470,Math101,article,29,1,incomplete,Languages,Intermediate
375,Prog202,quiz,35,4,completed,Languages,Beginner
22,Sci303,exercise,18,2,completed,Languages,Advanced
238,Sci303,video,40,5,completed,Programming,Intermediate
158,Math101,exercise,48,4,completed,Math,Intermediate
38,Sci303,video,30,1,completed,Science,Beginner
230,Lang404,article,15,3,incomplete,Programming,Beginner
365,Lang404,video,53,4,completed,Math,Intermediate
51,Math101,quiz,15,4,completed,Languages,Intermediate
438,Lang404,quiz,16,4,completed,Math,Intermediate
264,Prog202,quiz,57,1,completed,Languages,Intermediate
283,Math101,exercise,33,1,completed,Languages,Advanced
27,Math101,quiz,10,4,completed,Math,Advanced
226,Prog202,quiz,19,4,completed,Math,Intermediate
277,Lang404,exercise,37,2,incomplete,Science,Intermediate
286,Lang404,article,50,3,completed,Math,Intermediate
97,Lang404,quiz,3,5,completed,Math,Advanced
284,Math101,quiz,36,5,completed,Programming,Beginner
367,Math101,exercise,4,5,completed,Languages,Advanced
448,Lang404,article,11,1,completed,Languages,Intermediate
481,Sci303,article,41,1,completed,Science,Intermediate
453,Lang404,article,33,2,incomplete,Programming,Intermediate
317,Prog202,exercise,28,1,completed,Science,Intermediate
304,Math101,video,32,4,completed,Math,Advanced
147,Prog202,video,57,3,completed,Science,Beginner
4,Prog202,quiz,16,3,incomplete,Languages,Intermediate
35,Math101,quiz,9,3,completed,Programming,Intermediate
192,Sci303,quiz,11,3,completed,Math,Intermediate
49,Lang404,video,6,5,incomplete,Programming,Beginner
17,Prog202,exercise,59,5,completed,Programming,Advanced
172,Math101,quiz,49,4,completed,Science,Beginner
220,Prog202,exercise,27,2,completed,Math,Advanced
158,Lang404,quiz,12,1,incomplete,Programming,Intermediate
477,Sci303,exercise,22,1,incomplete,Programming,Beginner
46,Sci303,exercise,40,5,incomplete,Science,Beginner
373,Sci303,video,48,3,incomplete,Programming,Intermediate
6,Math101,exercise,37,4,completed,Languages,Beginner
99,Math101,article,21,2,completed,Languages,Intermediate
380,Sci303,video,33,5,completed,Math,Intermediate
233,Lang404,quiz,17,4,incomplete,Math,Advanced
37,Lang404,video,56,4,completed,Science,Advanced
280,Math101,article,29,5,incomplete,Programming,Intermediate
349,Sci303,article,53,4,completed,Science,Intermediate
497,Lang404,exercise,40,3,incomplete,Science,Beginner
302,Lang404,article,10,4,completed,Languages,Intermediate
181,Lang404,article,18,2,incomplete,Programming,Intermediate
95,Math101,article,47,4,completed,Languages,Beginner
99,Sci303,article,52,1,completed,Languages,Intermediate
188,Prog202,quiz,13,4,completed,Math,Intermediate
481,Sci303,quiz,27,5,completed,Science,Advanced
116,Sci303,video,10,1,completed,Languages,Intermediate
191,Math101,exercise,32,5,incomplete,Math,Intermediate
253,Lang404,quiz,41,2,completed,Math,Beginner
469,Lang404,article,45,3,completed,Programming,Advanced
416,Math101,exercise,3,2,completed,Programming,Advanced
471,Math101,quiz,22,1,completed,Languages,Intermediate
161,Math101,video,27,3,incomplete,Math,Advanced
256,Math101,article,55,4,incomplete,Math,Advanced
323,Math101,exercise,3,1,incomplete,Math,Advanced
128,Prog202,quiz,33,3,completed,Science,Beginner
18,Sci303,exercise,2,5,completed,Math,Beginner
281,Sci303,quiz,11,3,completed,Science,Advanced
490,Sci303,video,46,5,completed,Programming,Advanced
223,Lang404,article,10,5,incomplete,Languages,Intermediate
54,Prog202,video,39,3,completed,Programming,Advanced
58,Sci303,article,55,2,completed,Languages,Beginner
323,Lang404,article,33,2,incomplete,Math,Intermediate
360,Prog202,exercise,58,5,completed,Languages,Beginner
174,Prog202,quiz,7,1,completed,Languages,Beginner
280,Lang404,video,15,3,incomplete,Programming,Beginner
114,Prog202,video,26,1,completed,Languages,Beginner
288,Lang404,video,11,2,incomplete,Math,Beginner
431,Sci303,exercise,38,1,completed,Science,Intermediate
342,Lang404,exercise,27,4,completed,Math,Beginner
151,Prog202,exercise,54,4,completed,Languages,Advanced
450,Sci303,article,39,2,completed,Programming,Intermediate
127,Sci303,video,7,1,completed,Math,Advanced
155,Math101,article,1,3,completed,Languages,Intermediate
490,Math101,video,10,2,completed,Programming,Advanced
386,Prog202,video,21,4,completed,Science,Beginner
474,Lang404,quiz,15,2,completed,Programming,Advanced
273,Lang404,video,30,1,completed,Languages,Beginner
104,Prog202,exercise,30,1,incomplete,Programming,Intermediate
417,Sci303,exercise,8,1,incomplete,Languages,Beginner
393,Prog202,exercise,24,5,completed,Programming,Advanced
299,Prog202,quiz,19,1,completed,Programming,Beginner
246,Sci303,quiz,3,4,completed,Programming,Beginner
176,Lang404,article,55,4,completed,Languages,Intermediate
39,Prog202,video,15,5,completed,Programming,Beginner
477,Lang404,video,36,4,completed,Languages,Intermediate
170,Prog202,exercise,6,4,completed,Math,Advanced
247,Sci303,exercise,57,2,completed,Science,Intermediate
26,Sci303,exercise,42,1,incomplete,Math,Advanced
355,Math101,exercise,50,2,completed,Science,Advanced
306,Sci303,exercise,48,2,completed,Languages,Beginner
409,Math101,exercise,18,4,incomplete,Math,Intermediate
408,Prog202,video,38,3,incomplete,Science,Advanced
13,Lang404,quiz,19,1,completed,Science,Beginner
316,Sci303,exercise,49,3,incomplete,Math,Beginner
391,Sci303,video,50,4,completed,Math,Advanced
313,Sci303,exercise,30,5,completed,Languages,Beginner
36,Prog202,article,13,2,completed,Science,Intermediate
173,Math101,article,39,4,incomplete,Languages,Advanced
20,Prog202,video,52,4,completed,Languages,Advanced
321,Lang404,quiz,12,3,completed,Programming,Beginner
264,Prog202,article,34,5,completed,Languages,Advanced
494,Lang404,article,59,2,completed,Science,Advanced
400,Sci303,quiz,12,5,completed,Programming,Advanced
